#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        6, 0.06631017855487924,                5.0,                  5.0
             4.0,        5, 0.12782282491860197,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.05354254141464627,                5.0,                  5.0
             4.0,        9, 0.055063186160496165,                5.0,                  5.0
             5.0,        6, 0.06631017855487924,                5.0,                  5.0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             6.0,        9, 0.05585200958517352,                5.0,                  5.0
             4.0,       10, 0.07421212578586084,                5.0,                  5.0
             5.0,        1, 0.05701615304227045,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,       10, 0.05354254141464627,                5.0,                  5.0
             2.0,        7, 0.04691428264018393,                5.0,                  5.0
             5.0,       10, 0.0940158595365756,                5.0,                  5.0
             2.0,        3, 0.11604443528457423,                5.0,                  5.0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             6.0,        9, 0.05585200958517352,                5.0,                  5.0
             3.0,        7, 0.060383603760677404,                5.0,                  5.0
             6.0,        4, 0.16245824958041954,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             3.0,       10, 0.06161388952310546,                5.0,                  5.0
             4.0,        3, 0.051628350852984985,                5.0,                  5.0
             3.0,        7, 0.1302126717704746,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             3.0,       10, 0.06161388952310546,                5.0,                  5.0
             5.0,       10, 0.17818355843572536,                5.0,                  5.0
             7.0,       10, 0.05703755758060232,                5.0,                  5.0
             4.0,        9, 0.055063186160496165,                5.0,                  5.0
             3.0,        7, 0.060383603760677404,                5.0,                  5.0
             4.0,        4, 0.1256694938962399,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        9, 0.05447149519742916,                5.0,                  5.0
             6.0,       10, 0.08266638551667586,                5.0,                  5.0
             5.0,        6, 0.06631017855487924,                5.0,                  5.0
             4.0,        5, 0.12782282491860197,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             3.0,       10, 0.06161388952310546,                5.0,                  5.0
             4.0,        3, 0.051628350852984985,                5.0,                  5.0
             5.0,        7, 0.10565796018798054,                5.0,                  5.0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             6.0,        9, 0.05585200958517352,                5.0,                  5.0
             4.0,       10, 0.07421212578586084,                5.0,                  5.0
             5.0,        1, 0.05701615304227045,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             2.0,        7, 0.04691428264018393,                5.0,                  5.0
             5.0,       10, 0.0940158595365756,                5.0,                  5.0
             6.0,        3, 0.08301573740978355,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        9, 0.05447149519742916,                5.0,                  5.0
             5.0,       10, 0.07694514304238961,                5.0,                  5.0
             3.0,        7, 0.060383603760677404,                5.0,                  5.0
             4.0,        4, 0.1256694938962399,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.05354254141464627,                5.0,                  5.0
             5.0,        7, 0.045614900550156386,                5.0,                  5.0
             7.0,       10, 0.06817691532360566,                5.0,                  5.0
             4.0,        3, 0.10154380887454195,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             8.0,       10, 0.056062811374704986,                5.0,                  5.0
             8.0,       10, 0.046271742357062606,                5.0,                  5.0
             6.0,       10, 0.08956326868658701,                5.0,                  5.0
             8.0,       10, 0.056062811374704986,                5.0,                  5.0
             7.0,        9, 0.048154640858866,                5.0,                  5.0
             4.0,       10, 0.07421212578586084,                5.0,                  5.0
             2.0,        9, 0.05447149519742916,                5.0,                  5.0
             6.0,       10, 0.08266638551667586,                5.0,                  5.0
             5.0,        6, 0.06631017855487924,                5.0,                  5.0
             4.0,        5, 0.12782282491860197,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.05354254141464627,                5.0,                  5.0
             4.0,        9, 0.055063186160496165,                5.0,                  5.0
             5.0,        6, 0.06631017855487924,                5.0,                  5.0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             6.0,        9, 0.05585200958517352,                5.0,                  5.0
             4.0,       10, 0.07421212578586084,                5.0,                  5.0
             5.0,        1, 0.05701615304227045,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             2.0,        7, 0.04691428264018393,                5.0,                  5.0
             5.0,       10, 0.0940158595365756,                5.0,                  5.0
             6.0,        9, 0.05634893929590786,                5.0,                  5.0
             3.0,       10, 0.058501576964348205,                5.0,                  5.0
             6.0,       10, 0.07894268296839463,                5.0,                  5.0
             6.0,        1, 0.05355647155666631,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.05354254141464627,                5.0,                  5.0
             4.0,        9, 0.055063186160496165,                5.0,                  5.0
             3.0,        7, 0.060383603760677404,                5.0,                  5.0
             6.0,        4, 0.16245824958041954,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,       10, 0.05483478670157836,                5.0,                  5.0
             7.0,        9, 0.048154640858866,                5.0,                  5.0
             4.0,       10, 0.07421212578586084,                5.0,                  5.0
             3.0,        1, 0.06065561917013429,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.056062811374704986,                5.0,                  5.0
             6.0,        9, 0.05585200958517352,                5.0,                  5.0
             8.0,        4, 0.05549091752999481,                5.0,                  5.0
             7.0,        7, 0.17213006073717182,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
