#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        0,         -1,                  0,                    0
             4.0,       10, 0.7238624537032372,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             8.0,       10, 0.7023566328989235,                0.0,                  0.0
             8.0,       10, 0.5983574583177238,                0.0,                  0.0
             2.0,       10, 0.5510910993509877,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             6.0,       10, 0.5462763186018991,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,       10, 0.7139469331835024,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             4.0,       10, 0.6144545940854672,                0.0,                  0.0
             8.0,       10, 0.5444742391713965,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             4.0,       10, 0.6144545940854672,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             2.0,       10, 0.6218075109945653,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             7.0,       10, 0.7081530753361405,                0.0,                  0.0
             4.0,       10, 0.6144545940854672,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             2.0,       10, 0.6218075109945653,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             7.0,       10, 0.5453308067105427,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             8.0,       10, 0.7023566328989235,                0.0,                  0.0
             8.0,       10, 0.5983574583177238,                0.0,                  0.0
             6.0,       10, 0.5462763186018991,                0.0,                  0.0
             8.0,       10, 0.7023566328989235,                0.0,                  0.0
             7.0,       10, 0.6022382027544123,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             4.0,       10, 0.6144545940854672,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             2.0,       10, 0.6218075109945653,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             6.0,       10, 0.7139469331835024,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             6.0,       10, 0.5462763186018991,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             4.0,       10, 0.6144545940854672,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             7.0,       10, 0.6022382027544123,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.7023566328989235,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             8.0,       10, 0.5444742391713965,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.7192025415782605,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             8.0,       10, 0.7023566328989235,                0.0,                  0.0
             8.0,       10, 0.5983574583177238,                0.0,                  0.0
             2.0,       10, 0.5510910993509877,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.7139469331835024,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             6.0,       10, 0.5462763186018991,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             3.0,       10, 0.5498403990895525,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.7213924473318057,                0.0,                  0.0
             5.0,       10, 0.6103097390267954,                0.0,                  0.0
             7.0,       10, 0.5453308067105427,                0.0,                  0.0
             4.0,       10, 0.7238624537032372,                0.0,                  0.0
             3.0,       10, 0.618300360406118,                0.0,                  0.0
             4.0,       10, 0.5485302877226503,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,       10, 0.7139469331835024,                0.0,                  0.0
             8.0,       10, 0.5983574583177238,                0.0,                  0.0
             7.0,       10, 0.5453308067105427,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,       10, 0.7162187532048523,                0.0,                  0.0
             6.0,       10, 0.6062232267764506,                0.0,                  0.0
             5.0,       10, 0.5473426169924792,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
