#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             6.0,       10, 0.10315763223197438,  6.167835392456803,                 10.0
             4.0,        7, 0.06523027285316868,  7.751775555552621,                 10.0
             5.0,        4, 0.1523948536524983,  5.868545493072215,                 10.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08739905952796959,  8.289492404216025,                 10.0
             2.0,       10, 0.08968446786683823,  7.167835392456803,                 10.0
             3.0,       10, 0.09941343821159027,  7.751775555552621,                 10.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.1025559396158373,  7.289492404216026,                 10.0
             3.0,       10, 0.062044000309566,  7.167835392456803,                 10.0
             6.0,       10, 0.05017003793369659,  7.751775555552621,                 10.0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.07306255121780673,  8.289492404216025,                 10.0
             4.0,       10, 0.07249465352512388,  7.167835392456803,                 10.0
             3.0,       10, 0.09941343821159027,  7.751775555552621,                 10.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.07306255121780673,  8.289492404216025,                 10.0
             5.0,        7, 0.08071919646415424,  7.167835392456803,                 10.0
             7.0,        4, 0.10214157989358945,  6.751775555552621,                 10.0
             4.0,       10, 0.1600279854557149,  5.868545493072215,                 10.0
             3.0,       10, 0.07306255121780673,  8.289492404216025,                 10.0
             4.0,       10, 0.07249465352512388,  7.167835392456803,                 10.0
             8.0,        8, 0.08106209595299031,  7.751775555552621,                 10.0
             8.0,        3, 0.12507188745232553,  6.868545493072215,                 10.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.04852092025027662,  9.289492404216025,                 10.0
             4.0,       10, 0.07249465352512388,  7.167835392456803,                 10.0
             2.0,        2, 0.07731380120894778,  7.751775555552621,                 10.0
             6.0,        9, 0.3270559807598932,  2.868545493072215,    5.391327462712713
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             4.0,       10, 0.07249465352512388,  7.167835392456803,                 10.0
             3.0,       10, 0.09941343821159027,  7.751775555552621,                 10.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             6.0,       10, 0.10315763223197438,  6.167835392456803,                 10.0
             4.0,        7, 0.06523027285316868,  7.751775555552621,                 10.0
             5.0,        4, 0.1523948536524983,  5.868545493072215,                 10.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        6, 0.08485674877764864,  8.289492404216025,                 10.0
             5.0,        9, 0.11495974280970123,  6.167835392456803,                 10.0
             2.0,        6, 0.10464918878746553,  6.751775555552621,                 10.0
             5.0,       10, 0.2765006957999671,  3.868545493072215,    7.391327462712713
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        6, 0.08485674877764864,  8.289492404216025,                 10.0
             5.0,        9, 0.11495974280970123,  6.167835392456803,                 10.0
             3.0,       10, 0.09199873261373574,  7.751775555552621,                 10.0
             4.0,       10, 0.05548890184688582,  8.289492404216025,                 10.0
             3.0,       10, 0.062044000309566,  7.167835392456803,                 10.0
             6.0,       10, 0.05017003793369659,  7.751775555552621,                 10.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             7.0,        4, 0.07040999492220298,  7.167835392456803,                 10.0
             4.0,        5, 0.06612960372579514,  7.751775555552621,                 10.0
             3.0,       10, 0.07306255121780673,  8.289492404216025,                 10.0
             4.0,       10, 0.07249465352512388,  7.167835392456803,                 10.0
             8.0,        8, 0.08106209595299031,  7.751775555552621,                 10.0
             8.0,        3, 0.12507188745232553,  6.868545493072215,                 10.0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08739905952796959,  8.289492404216025,                 10.0
             7.0,        4, 0.07040999492220298,  7.167835392456803,                 10.0
             4.0,        5, 0.06612960372579514,  7.751775555552621,                 10.0
             2.0,        3, 0.07017850889701552,  7.868545493072215,                 10.0
             6.0,        9, 0.1319417802431793, 3.0584057399119535,                 10.0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,       10, 0.05548890184688582,  8.289492404216025,                 10.0
             5.0,        7, 0.08071919646415424,  7.167835392456803,                 10.0
             3.0,        1, 0.08273306696060126,  7.751775555552621,                 10.0
             4.0,        5, 0.07688488168549615,  7.868545493072215,                 10.0
             5.0,        8, 0.14702026143677888, 3.0584057399119535,                 10.0
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             6.0,       10, 0.10315763223197438,  6.167835392456803,                 10.0
             4.0,        7, 0.06523027285316868,  7.751775555552621,                 10.0
             5.0,        4, 0.1523948536524983,  5.868545493072215,                 10.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        6, 0.08485674877764864,  8.289492404216025,                 10.0
             3.0,        7, 0.09233362068411877,  7.167835392456803,                 10.0
             2.0,        9, 0.07393620901578732,  7.751775555552621,                 10.0
             5.0,        9, 0.4335815697176927, 0.8685454930722153,   1.3913274627127126
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        6, 0.08485674877764864,  8.289492404216025,                 10.0
             5.0,        9, 0.11495974280970123,  6.167835392456803,                 10.0
             3.0,       10, 0.09199873261373574,  7.751775555552621,                 10.0
             4.0,        6, 0.23454050413280833,  4.868545493072215,    9.391327462712713
             3.0,        0,         -1,                  0,                    0
             6.0,       10, 0.1025559396158373,  7.289492404216026,                 10.0
             5.0,        7, 0.08071919646415424,  7.167835392456803,                 10.0
             3.0,        1, 0.08273306696060126,  7.751775555552621,                 10.0
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             7.0,        4, 0.07040999492220298,  7.167835392456803,                 10.0
             4.0,        5, 0.06612960372579514,  7.751775555552621,                 10.0
             3.0,       10, 0.07306255121780673,  8.289492404216025,                 10.0
             4.0,       10, 0.07249465352512388,  7.167835392456803,                 10.0
             8.0,        8, 0.08106209595299031,  7.751775555552621,                 10.0
             8.0,       10, 0.08739905952796959,  8.289492404216025,                 10.0
             6.0,       10, 0.10315763223197438,  6.167835392456803,                 10.0
             8.0,        8, 0.08106209595299031,  7.751775555552621,                 10.0
             7.0,        3, 0.10686925941467453,  6.868545493072215,                 10.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,       10, 0.05548890184688582,  8.289492404216025,                 10.0
             3.0,       10, 0.062044000309566,  7.167835392456803,                 10.0
             4.0,        7, 0.06523027285316868,  7.751775555552621,                 10.0
             5.0,        4, 0.1523948536524983,  5.868545493072215,                 10.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.09907069313677917,  8.289492404216025,                 10.0
             6.0,       10, 0.10315763223197438,  6.167835392456803,                 10.0
             4.0,        7, 0.06523027285316868,  7.751775555552621,                 10.0
             5.0,        4, 0.1523948536524983,  5.868545493072215,                 10.0
             8.0,       10, 0.08739905952796959,  8.289492404216025,                 10.0
             8.0,       10, 0.07669437149359143,  7.167835392456803,                 10.0
             2.0,        2, 0.07731380120894778,  7.751775555552621,                 10.0
             3.0,        9, 0.2769951542800833,  3.868545493072215,    7.391327462712713
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        6, 0.08485674877764864,  8.289492404216025,                 10.0
             5.0,        9, 0.11495974280970123,  6.167835392456803,                 10.0
